Athlete,Sport,Substance/Reason,Sanction Terms,Sanction Announced
"Ronson, Jesse",Mixed Martial Arts,Metandienone,20-Month Suspension,11/18/2020
"Hipona, Alissandra",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,2-Year Suspension,11/09/2020
"Hudson, Ryan",Weightlifting,Androgenic Anabolic Steroid,8-Year Suspension; Loss of Results,Original 12/20/2018; Updated 11/04/2020
"Bey, Kamal",Wrestling,Non-Analytical: 3 Whereabouts Failures,1-Year Suspension; Loss of Results,10/30/2020
"Brown, Jamie",Paralympic Triathlon,Hydrochlorothiazide (HCTZ),No Fault or Negligence,10/28/2020
"Sherman, Chase",Mixed Martial Arts,Anastrozole,9-Month Suspension,10/20/2020
"Paparella, Flavia",Cycling,Vilanterol,6-Month Suspension; Loss of Results,10/19/2020
"Martin, Jeff",Cycling,Androgenic Anabolic Steroid,2-Year Suspension; Loss of Results,10/01/2020
"Millican, Morgan",Weightlifting,Clomiphene,2-Year Suspension; Loss of Results,09/29/2020
"Harroufi, Ridouane",Track and Field,Androgenic Anabolic Steroid,8-Year Suspension; Loss of Results,09/24/2020
"Fritzen Procopio, Lara",Mixed Martial Arts,Ostarine,6-Month Suspension,09/21/2020
"McCullough, Matthew",Weightlifting,Higenamine,20-Month Suspension; Loss of Results,09/17/2020
"Gonzalez Villa, Jorge",Mixed Martial Arts,Stanozolol; Drostanolone,2-Year Suspension,09/11/2020
"Wood, Jonathan",Cycling,Androgenic Anabolic Steroid,2-Year Suspension,09/09/2020
"Parlor, Tiffany",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,4-Year Suspension,09/08/2020
"Fix, Daton",Wrestling,Ostarine,1-Year Suspension; Loss of Results,09/08/2020
"Doskalchuk, Oleksandr",Mixed Martial Arts,Mesterolone,14-Month Suspension,09/02/2020
"Murdock, Vince",Mixed Martial Arts,GW1516,20-Month Suspension - Sanction Reduced,Original: 09/05/2019; Updated: 08/26/2020
"Gicquel, Barbara",Cycling,Methyltestosterone,1-Year Suspension; Loss of Results,08/14/2020
"Dombrovskiy, Vladyslav",Wrestling,Non-Analytical: Possession and Use/Attempted Use; Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results,07/28/2020
"Melendez, Gilbert",Mixed Martial Arts,GHRP-6,2-Year Suspension,07/27/2020
"Rante, Danielle",Weightlifting,19-norandrosterone (19-NA),4-Year Suspension; Loss of Results,07/22/2020
"Woolsey, Taff",Weightlifting,Non-Analytical: Possession (Exemestane),2-Year Suspension; Loss of Results,07/22/2020
"Castille, Kevin",Track and Field,19-norandrosterone (19-NA),4-Year Suspension; Loss of Results,07/16/2020
"Prusmack, Jeff",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,4-Year Suspension; Loss of Results,07/02/2020
"Alonso, Leynier",Cycling,Phentermine,4-Year Suspension; Loss of Results,06/30/2020
"Arruda da Silva, Bruno",Mixed Martial Arts,Boldenone,2-Year Suspension,06/22/2020
"Ostovich-Berdon, Rachael",Mixed Martial Arts,Ostarine; GW1516,1-Year Suspension,06/18/2020
"Fuchs, Virginia",Boxing,Letrozole; GW1516,No Fault or Negligence,06/11/2020
"Nickles, Madilyn",Softball,LGD-4033,No Fault or Negligence,06/11/2020
"Glanville, Justin",Weightlifting,Non-Analytical: Possession and Use/Attempted Use,4-Year Suspension; Loss of Results,06/09/2020
"Walsh, Cole",Track and Field,Cannabinoids,6-Month Suspension with 3-Month Deferral; Loss of Results,06/01/2020
"Romero Noboa, Isidro",Triathlon,Androgenic Anabolic Steroid; Cannabinoids; Anastrozole; Clomiphene; GW1516,4-Year Suspension; Loss of Results,05/22/2020
"Gastelum, Kelvin",Mixed Martial Arts,Cannabinoids,9-Month Suspension with 5-Month Deferral,05/11/2020
"Ortiz, Robert",Weightlifting,Cannabinoids,12-Month Suspension with 6-Month Deferral; Loss of Results,05/04/2020
"Hurst, Rowdy",Weightlifting,Androgenic Anabolic Steroid; Clomiphene; Modafinil,4-Year Suspension; Loss of Results,04/24/2020
"Saccente, Nicholas",Weightlifting,Non-Analytical: Possession and Use/Attempted Use; Non-Analytical: 3 Whereabouts Failures,8-Year Suspension; Loss of Results; Sanction tolled due to retirement,04/16/2020
"Penchel, Lucas",Mixed Martial Arts,Non-Analytical: Complicity,2-Year Suspension,03/23/2020
"Gleaves, John",Cycling,Oxandrolone; Clomiphene,4-Year Suspension; Loss of Results,03/20/2020
"Bond, Daniel",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results,03/18/2020
"Aguero, Manuel",Weightlifting,Amphetamine; Modafinil,4-Year Suspension; Loss of Results,03/12/2020
"Phongsavanh, Justin",Paralympic Track and Field,Torsemide,No Fault or Negligence,03/11/2020
"Jones, Addison",Weightlifting,Cannabinoids,6-Month Suspension with 3-Month Deferral; Loss of Results,03/05/2020
"Penne, Jessica",Mixed Martial Arts,Stanozolol,20-Month Suspension,02/28/2020
"de Padua, Isabela",Mixed Martial Arts,19-norandrosterone (19-NA),2-Year Suspension,02/27/2020
"Strange, Robert",Weightlifting,Dehydroepiandrosterone (DHEA),1-Year Suspension; Loss of Results,02/21/2020
"Prazeres, Michel",Mixed Martial Arts,Boldenone,2-Year Suspension,02/11/2020
"Duarte, Kaynan",Brazilian Jiu-Jitsu,Ostarine,1-Year Suspension,02/07/2020
"Saint Preux, Ovince",Mixed Martial Arts,Ostarine; LGD-4033; GW1516,3-Month Suspension,01/31/2020
"Sanchez, Diego",Mixed Martial Arts,"Ostarine, S-23",3-Month Suspension,01/31/2020
"Werdum, Fabricio",Mixed Martial Arts,Trenbolone,2-Year Suspension - Sanction Reduced,Original 09/11/2018; Updated 01/16/2020
"O'Malley, Sean",Mixed Martial Arts,Ostarine,6-Month Suspension,01/09/2020
"Townsend, Dequan",Mixed Martial Arts,"Cocaine, Fentanyl",6-Month Suspension,01/08/2020
"Dumala, Samantha",Waterskiing,Spironolactone,Public Warning,01/07/2020
"Dreaver, Ted",Weightlifting,Androgenic Anabolic Steroid,39-Month Suspension; Loss of Results,01/06/2020
"Martinez, Cristofer",Weightlifting,5-methylhexan-2-amine,2-Year Suspension; Loss of Results,12/27/2019
"Taha, Khalid",Mixed Martial Arts,Furosemide,1-Year Suspension,12/23/2019
"Glasgow, Scott",Weightlifting,Non-Analytical: Complicity,4-Year Suspension,12/20/2019
"Merrell, Miranda",Weightlifting,Oxandrolone,2-Year Suspension; Loss of Results,12/19/2019
"Cachoeira Gomes da Silva, Priscila",Mixed Martial Arts,Hydrochlorothiazide,4-Month Suspension,12/18/2019
"Gochenour, Alexandria",Track and Field,Ostarine,4-Year Suspension; Loss of Results,12/17/2019
"Shafer, Janelle",Weightlifting,Ostarine,4-Year Suspension; Loss of Results,12/17/2019
"Jones, Stirley",Paralympic Track and Field,Stanozolol,4-Year Suspension; Loss of Results,Original: 06/17/2019; Updated: 12/16/2019
"Hay, Amy",Weightlifting,Ostarine,2-Year Suspension; Loss of Results; Sanction Reduced; Unretired - Eligible to compete starting 07/25/2020,Original: 10/31/2017; Updated: 12/16/2019
"Letellier, Lawrence",Weightlifting,Clomiphene,2-Year Suspension; Loss of Results,12/04/2019
"Akuna, Kiara",Weightlifting,Methandienone; Dehydrochloromethyltestosterone (DHCMT),4-Year Suspension; Loss of Results,11/27/2019
"Nunez, Erik",Weightlifting,GW1516,4-Year Suspension; Loss of Results,11/21/2019
"Anderson, Kaley",Weightlifting,Di‐hydroxy‐LGD‐4033,4-Year Suspension; Loss of Results,11/20/2019
"Gehm, Zach",Track and Field,"1,4‐dimethylpentylamine (1,4‐DMPA)",2-Year Suspension; Loss of Results,11/14/2019
"Nunes Souza, Istela Iane",Mixed Martial Arts,Stanozolol,2-Year Suspension,10/25/2019
"Y Frederico Salvador de Lemos, Giacomo",Mixed Martial Arts,Drostanolone,2-Year Suspension,10/24/2019
"Arte, John Allan",Mixed Martial Arts,Tamoxifen,1-Year Suspension,10/18/2019
"Gatto Regonha, Melissa",Mixed Martial Arts,Furosemide,1-Year Suspension,10/17/2019
"Kurth, Ty",Cycling,Testosterone,2-Year Suspension; Loss of Results,10/17/2019
"Dwyer, Conor",Swimming,Androgenic Anabolic Steroid,20-Month Suspension; Loss of Results; Sanction tolled due to retirement,10/11/2019
"Franklin, Natalie",Weightlifting,Ostarine; LGD-4033,4-Year Suspension; Loss of Results,10/10/2019
"Allison, Kyler",Bobsled and Skeleton,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results; Sanction tolled due to retirement,10/09/2019
"Davis, Todd",Track and Field,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results,10/04/2019
"Cano, Josue",Weightlifting,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results; Sanction tolled due to retirement,10/03/2019
"Salazar, Alberto",Track and Field,"Non-Analytical: Tampering, Administration (IV), and Trafficking (Testosterone)",4-Year Suspension,09/30/2019
"Brown, Jeffrey",Track and Field,"Non-Analytical: Tampering, Administration (IV), and Complicity (Testosterone)",4-Year Suspension,09/30/2019
"Carlberg, Angela",Weightlifting,Vilanterol,Public Warning,09/27/2019
"Branch, David",Mixed Martial Arts,Ipamorelin,2-Year Suspension,09/18/2019
"Frota Lima, Sarah",Mixed Martial Arts,Stanozolol,2-Year Suspension,09/17/2019
"Smoliakov, Dmitrii",Mixed Martial Arts,Recombinant human erythropoietin (rHuEPO); Intact human chorionic gonadtrophin (hCG),2-Year Suspension,09/10/2019
"Goss, Lauren",Triathlon,Cannabinoids,6-Month Suspension; Loss of Results,09/05/2019
"Maynard, Nicole",Weightlifting,Methenolone; LGD‐4033; GW1516,4-Year Suspension; Loss of Results,09/04/2019
"Gouti, Thibault",Mixed Martial Arts,Ostarine; LGD-4033; GW1516,6-Month Suspension,08/27/2019
"Dollaway, CB",Mixed Martial Arts,Anastrozole; GHRP-2; GHRP-6; Clomiphene,2-Year Suspension,08/26/2019
"Dolidze, Roman",Mixed Martial Arts,Clomiphene; Dehydrochloromethyltestosterone (DHCMT),1-Year Suspension,08/23/2019
"Bond, Michael",Powerlifting,"Ostarine, RAD140, GW1516",4-Year Suspension; Loss of Results,08/21/2019
"Orbon, Joane",Karate,LGD-4033,9-Month Suspension; Loss of Results,Original: 08/12/2019; Updated: 09/10/2019
"Licon, William",Swimming,Non-Analytical: Use (Vilanterol),Public Warning,08/01/2019
"Schafer, Mallory",Triathlon,Higenamine,10-Month Suspension,07/30/2019
"Galloway, Jacqueline",Taekwondo,Ibutamoren,6-Month Suspension,07/29/2019
"Amedovski, Alen",Mixed Martial Arts,Cannabinoids,6-Month Suspension with 3-Month Deferral,07/18/2019
"Sacklow, Joe",Weightlifting,"Heptaminol, 1,4‐dimethylpentylamine (1,4‐DMPA), Octodrine, Ostarine, Di‐hydroxy‐LGD‐4033",4-Year Suspension; Loss of Results,07/17/2019
"Warren, Darcie",Weightlifting,Non-Analytical: Refusal to Submit to Sample Collection,8-Year Suspension; Loss of Results,07/11/2019
"Shtyrkov, Ivan",Mixed Martial Arts,Boldenone,2-Year Suspension,07/09/2019
"Le, Talina",Taekwondo,Higenamine,18-Month Suspension; Loss of Results,07/08/2019
"Mosley, Mandy",Weightlifting,"Higenamine, Heptaminol, and Octodrine",16-Month Suspension; Loss of Results,06/27/2019
"Hu, Yaozong",Mixed Martial Arts,"Androsta-3,5-diene-7,17-dione",10-Month Suspension,06/14/2019
"Gorgees, Alex",Mixed Martial Arts,Drostanolone; Dehydrochloromethyltestosterone (DHCMT),16-Month Suspension,05/31/2019
"Waterstraat, Elizabeth",Triathlon,Ostarine,6-Month Suspension; Loss of Results,05/24/2019
"Porfirio de Araùjo, Tayane",Brazilian Jiu-Jitsu,"19‐norandrosterone (19‐NA), 19-noretiocholanolone",4-Year Suspension; Loss of Results,05/10/2019
"Prempeh, Ernest",Weightlifting,"DHCMT, Androgenic Anabolic Steroids",4-Year Suspension; Loss of Results; Sanction tolled due to retirement,05/07/2019
"Omar, Mohamed",Weightlifting,Clomiphene,2-Year Suspension; Loss of Results;,05/07/2019
"Ribas, Amanda",Mixed Martial Arts,Ostarine,2-Year Suspension - Sanction Reduced,Original: 01/10/2018; Updated 05/03/2019
"Tisinger-Ledkins, Janel",Racquetball,Octopamine,16-Month Suspension; Loss of Results,05/02/2019
"Costa, Carlos",Mixed Martial Arts,Non-Analytical: Possession and Administration,6-Month Suspension,04/26/2019
"Costa, Paulo",Mixed Martial Arts,Non-Analytical: Intravenous Infusion,6-Month Suspension,04/26/2019
"Montano, Nicco",Mixed Martial Arts,Ostarine,6-Month Suspension,04/23/2019
"O'Malley, Sean",Mixed Martial Arts,Ostarine,6-Month Suspension,04/23/2019
"Vettori, Marvin",Mixed Martial Arts,Ostarine,6-Month Suspension,04/23/2019
"Mendes, Augusto",Mixed Martial Arts,Ostarine,6-Month Suspension,04/23/2019
"Harris, Walt",Mixed Martial Arts,LGD-4033,4-Month Suspension,04/22/2019
"Gibb, Nicholas",Paralympic Cycling,Hydrochlorothiazide,No Fault or Negligence,04/16/2019
"Taisumov, Mairbek",Mixed Martial Arts,Stanozolol,6-Month Suspension,04/11/2019
"Dillashaw, TJ",Mixed Martial Arts,Recombinant human erythropoietin (rHuEPO),2-Year Suspension,04/09/2019
"Murzakanov, Azamat",Mixed Martial Arts,Boldenone,2-Year Suspension,04/08/2019
"Magomedov, Ruslan",Mixed Martial Arts,Methyltestosterone; Stanozolol,Lifetime Suspension,04/01/2019
"Baratto, Joseph",Cycling,Androgenic Anabolic Steroid,1-Year Suspension; Loss of Results,03/20/2019
"McClammer, Chelsea",Paralympic Track and Field,Hydrochlorothiazide,No Fault or Negligence,03/08/2019
"Logan, Devin",Skiing,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,03/01/2019
"Schenk, Cheyenne",Weightlifting,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,02/26/2019
"Murtazaliev, Khalid",Mixed Martial Arts,Drostanolone,2-Year Suspension,02/22/2019
"Collier, Jake",Mixed Martial Arts,Higenamine,10-Month Suspension,02/19/2019
"Sorensen, Ira",Cycling,Androgenic Anabolic Steroid,2-Year Suspension; Loss of Results,02/12/2019
"Pate, Jennifer",Cycling,Androgenic Anabolic Steroid,4-Year Suspension; Loss of Results,02/11/2019
"Campbell, Rachel",Weightlifting,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension; Loss of Results,02/07/2019
"Cuicchi, Trevor",Weightlifting,Ostarine,9-Month Suspension; Loss of Results,01/28/2019
"Juneau Scott, Cory",Skateboarding,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,01/22/2019
"Carrillo, Michel",Cycling,"Erythropoietin (EPO); 19‐norandrosterone (19‐NA); Androgenic-anabolic steroids (AAS); Clostebol, Testosterone",4-Year Suspension; Loss of Results,01/18/2019
"Maia, Jennifer",Mixed Martial Arts,"Furosemide; Hydrochlorothiazide; Chlorothiazide; Thiazide metabolite 4-amino-6-chloro-1,3-benzenedisulfonamide (ACB)",6-Month Suspension,01/15/2019
"Brown, Robert",Weightlifting,Heptaminol,9-Month Suspension; Loss of Results,01/14/2019
"Grove, Carl",Cycling,Trenbolone; Clomiphene,Public Warning,01/04/2019
"Pate, David",Cycling,Androgenic Anabolic Steroid,4-Year Suspension; Loss of Results,12/20/2018
"Zeng, Laura",Gymnastics,Acetazolamide,6-Month Suspension; Loss of Results,12/19/2018
"Sekulic, Stefan",Mixed Martial Arts,Drostanolone; Metandienone,2-Year Suspension,12/18/2018
"Kandare, Bharat Vijay",Mixed Martial Arts,Boldenone; Tamoxifen,2-Year Suspension,12/17/2018
"Saccente, Nicholas",Weightlifting,Androgenic Anabolic Steroid; Boldenone,4-Year Suspension - Loss of Results; Additional 4 months of suspension - Loss of Results; Sanction tolled due to retirement,Original: 02/14/2017; Updated: 12/11/2018
"Miyao, Paulo",Brazilian Jiu-Jitsu,Clomiphene,2-Year Suspension - Loss of Results; Additional 3 months of suspension - Loss of Results,Original: 05/10/2017;Updated: 11/27/2018
"Lopez, Enrique",Cycling,Erythropoietin (EPO),4-Year Suspension - Loss of Results,11/12/2018
"Strickler, Steven",Cycling,Androgenic Anabolic Steroid,4-Year Suspension - Loss of Results,11/07/2018
"Reyes, Polo",Mixed Martial Arts,Ostarine,6-Month Suspension,10/29/2018
"Garcia del Moral, Luis",Cycling - Athlete Support Personnel,Non-Analytical,5-Year Suspension,Original: 07/10/2012;Updated: 10/26/2018
"Bruyneel, Johan",Cycling - Athlete Support Personnel,Non-Analytical: Administration and Trafficking,Lifetime Suspension,Original: 04/22/2014;Updated: 10/24/2018
"Celaya Lazama, Pedro",Cycling - Athlete Support Personnel,Non-Analytical,Lifetime Suspension,Original: 04/22/2014;Updated: 10/24/2018
"Marti, Jose",Cycling - Athlete Support Personnel,Non-Analytical,15-Year Suspension,Original: 04/22/2014;Updated: 10/24/2018
"Moffett, Shaun",Cycling,Testosterone and Clomiphene,21-Month Suspension - Loss of Results; Additional 3 months of suspension - Loss of Results,Original: 04/24/2018Updated: 10/19/2018
"Tanski, Jeff",Cycling,Androgenic Anabolic Steroid,4-Year Suspension - Loss of Results,10/18/2018
"Scott, Bradley",Mixed Martial Arts,Cocaine,2-Year Suspension; Sanction tolled due to retirement,10/16/2018
"Gonzalez, Mijail",Cycling,Dexamethasone,4-Year Suspension - Loss of Results,10/03/2018
"Eyler, Bob",Archery,Cannabinoids; Propranolol,2-Year Suspension - Loss of Results,10/01/2018
"Ariola, Grace",Swimming,Hydrochlorothiazide,No Fault of Negligence,09/28/2018
"Diaz, Raul",Cycling,"Erythropoietin (EPO), Dexamethasone",4-Year Suspension - Loss of Results,09/27/2018
"Claye, William",Track & Field,Clenbuterol,No Fault or Negligence,09/27/2018
"Hunter, Adam",Mixed Martial Arts,"Tamoxifen; Boldenone, Methandienone, Drostanolone, and Clenbuterol",2-Year Suspension - Loss of Results - Additional Loss of Results,Original: 10/28/2016; Updated: 09/26/2018
"Butterworth, Andrew",Weightlifting,Stanozolol,42-Month Suspension - Loss of Results,09/26/2018
"Jones, Jon",Mixed Martial Arts,Chlorine-substituted Anabolic Steroid,15-Month Suspension - Loss of Results,09/19/2018
"Jones, Kevin",Weightlifting,Clenbuterol,No Fault or Negligence - Loss of Results,09/19/2018
"Dudeck, Cameron",Weightlifting,DHCMT,4-Year Suspension - Loss of Results,09/17/2018
"Bedford, Stephen",Cycling,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,09/12/2018
"Francis, Victoria",Wrestling,Ostarine,1-Year Suspension - Loss of Results,08/31/2018
"Ortiz, Robert",Weightlifting,"1,4‐dimethylpentylamine",16-Month Suspension - Loss of Results,08/27/2018
"Malinowski, Emily",Weightlifting,Androgenic Anabolic Steroids,45-Month Suspension - Loss of Results,08/24/2018
"Payne, Demi",Track & Field,Drostanolone,4-Year Suspension - Loss of Results,08/24/2018
"Gaskins, Joshua",Weightlifting,Androgenic Anabolic Steroids,2-Year Suspension - Loss of Results,08/22/2018
"Boss, Logan",Track & Field,Canrenone,6-Month Suspension - Loss of Results,08/21/2018
"Frazier, Daniel",Cycling,"Androgenic Anabolic Steroid, Clomiphene",1-Year Suspension - Loss of Results,08/15/2018
"Ssekyaaya, Charles",Weightlifting,"1,3-dimethylbutylamine (DMBA)",9-Month Suspension - Loss of Results,08/13/2018
"Ferraro,  Anthony",Paralympic Judo,Cannabinoids,6-Month Suspension with 3-Month Deferral - Loss of Results,08/08/2018
"Mazur, Bruce",Cycling,Androgenic Anabolic Steroids,4-Year Suspension - Loss of Results,08/01/2018
"Casey, Jack",Swimming,Anastrozole,6-Month Suspension - Loss of Results,07/26/2018
"Lochte, Ryan",Swimming,Non-Analytical: Use (IV),14-Month Suspension,07/23/2018
"Silva, Anderson",Mixed Martial Arts,Methyltestosterone; Hydrochlorothiazide,1-Year Suspension,07/18/2018
"Meacham, Michael",Triathlon,Androgenic Anabolic Steroids,1-Year Suspension - Loss of Results,06/29/2018
"Oleksiejczuk, Michał",Mixed Martial Arts,Clomiphene,1-Year Suspension,06/12/2018
"Ainslie, Roger",Cycling,GW1516,42-Month Suspension - Loss of Results,06/08/2018
"Brown, Buster",Cycling,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,06/01/2018
"Gross, Scott",Cycling,Non-Analytical: Refusal to Submit to Sample Collection,4-Year Suspension - Loss of Results,05/22/2018
"Chipangama, Jordan",Track and Field,Meldonium,4-Year Suspension - Loss of Results,05/15/2018
"Colunga, Cesar",Karate,Methylphenidate,4-Month Suspension - Loss of Results,05/09/2018
"Kendall, Amanda",Swimming,Non-Analytical: Use (Vilanterol),3-Month Suspension - Loss of Results,05/08/2018
"Dahlkemper, Abigail",Soccer,Spironolactone,Public Warning,05/04/2018
"Nogueira, Antonio Rogerio",Mixed Martial Arts,Hydrochlorothiazide,6-Month Suspension,04/23/2018
"Almeida, Junior dos Santos",Mixed Martial Arts,Hydrochlorothiazide,6-Month Suspension,04/23/2018
"De Lima, Marcos Rogerio",Mixed Martial Arts,Anastrozole; Hydrochlorothiazide,6-Month Suspension,04/23/2018
"Griffin, Jason",Paralympic Cycling,Benzoylecgonine and Methylecgonine,1-Year Suspension - Loss of Results,04/18/2018
"Rivera, Jessica",Weightlifting,Stanozolol,4-Year Suspension -  Loss of Results,04/16/2018
"Miller, Barry",Cycling,Androgenic Anabolic Steroid,1-Year Suspension -  Loss of Results,04/13/2018
"Lima, Dylan",Cycling,Testosterone,3-Year Suspension - Loss of Results,04/10/2018
"Diaz, Nick",Mixed Martial Arts,Non-Analytical: 3 Whereabouts Failures,1-Year Supension,04/09/2018
"Britt, Teresa",Weightlifting,Higenamine,2-Year Suspension - Loss of Results,04/09/2018
"Rothwell, Ben",Mixed Martial Arts,Testosterone,2-Year Suspension,04/06/2018
"Palicka, Megan",Weightlifting,Ostarine and RAD140,3-Year Suspension - Loss of Results; Sanction tolled due to retirement,04/06/2018
"Volrath, Frank",Weightlifting,"Ostarine, RAD140, Ibutamoren",4-Year Suspension - Loss of Results; Sanction tolled due to retirement,04/05/2018
"Gough, Nicholas",Triathlon,Erythropoietin (EPO),4-Year Suspension - Loss of Results,04/02/2018
"Rosiek, Julie",Triathlon,Androgenic Anabolic Steroid,2-Year Suspension - Loss of Results,03/30/2018
